month,hour,day_type,daylight_savings_status,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation,carbon_intensity,electricity_pricing,electricity_pricing_predicted_1,electricity_pricing_predicted_2,electricity_pricing_predicted_3,outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
8,10,1,0,2.7347834,0.0,0.0,0.0,366.8,0.21287169,0.22,0.54,0.22,0.22,21.7,73.0,778.0,734.0,22.2,20.6,21.7,71.0,73.0,76.0,444.0,0.0,436.0,174.0,0.0,95.0
8,11,1,0,2.9716666,0.0,0.0,0.0,491.59583,0.22570992,0.22,0.54,0.22,0.22,22.2,71.0,903.0,811.0,21.1,19.4,21.7,76.0,81.0,73.0,392.0,0.0,604.0,396.0,0.0,209.0
8,12,1,0,3.526,0.0,0.0,0.0,578.87085,0.23460789,0.22,0.54,0.22,0.22,22.8,68.0,964.0,815.0,20.6,20.0,22.2,78.0,81.0,71.0,231.0,0.0,589.0,320.0,0.0,144.0
8,13,1,0,3.8720334,0.0,0.0,0.0,624.8458,0.2428607,0.22,0.54,0.22,0.22,22.8,71.0,966.0,747.0,20.6,19.4,21.0,73.0,87.0,78.0,27.0,0.0,554.0,143.0,0.0,133.0
8,14,1,0,3.4493666,0.0,0.0,0.0,631.1875,0.24223925,0.22,0.54,0.22,0.22,22.2,73.0,683.0,291.0,20.0,19.4,21.0,76.0,87.0,78.0,0.0,0.0,907.0,0.0,0.0,685.0
8,15,1,0,3.3364167,0.0,0.0,0.0,600.2708,0.2426803,0.22,0.22,0.22,0.22,22.8,71.0,522.0,153.0,20.6,19.4,22.8,70.0,90.0,68.0,0.0,0.0,789.0,0.0,0.0,777.0
8,16,1,0,2.2620666,0.0,0.0,0.0,514.5125,0.24524967,0.54,0.22,0.22,0.54,22.2,71.0,444.0,174.0,20.6,18.9,22.8,73.0,90.0,67.0,0.0,0.0,631.0,0.0,0.0,703.0
8,17,1,0,0.9674501,0.0,0.0,0.0,384.975,0.24614695,0.54,0.22,0.22,0.54,21.1,76.0,392.0,396.0,19.4,18.3,22.2,81.0,93.0,68.0,0.0,0.0,443.0,0.0,0.0,585.0
8,18,1,0,0.16195008,0.0,0.0,0.0,210.17084,0.24275939,0.54,0.22,0.22,0.54,20.6,78.0,231.0,320.0,20.0,18.9,23.3,81.0,90.0,79.0,0.0,15.0,245.0,0.0,14.0,337.0
8,19,1,0,0.0059500607,0.0,0.0,0.0,18.841667,0.24150947,0.54,0.22,0.22,0.54,20.6,73.0,27.0,143.0,19.4,20.0,22.8,87.0,87.0,68.0,0.0,116.0,27.0,0.0,42.0,147.0
8,20,1,0,0.35833338,0.0,0.0,0.0,0.0,0.24358909,0.54,0.22,0.22,0.54,20.0,76.0,0.0,0.0,19.4,20.0,22.8,87.0,87.0,61.0,0.0,252.0,0.0,0.0,74.0,0.0
8,21,1,0,1.5845,0.0,0.0,0.0,0.0,0.2407392,0.22,0.22,0.22,0.22,20.6,70.0,0.0,0.0,19.4,20.0,20.0,90.0,84.0,84.0,0.0,292.0,0.0,0.0,35.0,0.0
8,22,1,0,2.5612333,0.0,0.0,0.0,0.0,0.22927038,0.22,0.22,0.22,0.22,20.6,73.0,0.0,0.0,18.9,21.7,20.6,90.0,76.0,78.0,0.0,436.0,0.0,0.0,95.0,0.0
8,23,1,0,1.4342,0.0,0.0,0.0,0.0,0.21529473,0.22,0.22,0.22,0.22,19.4,81.0,0.0,0.0,18.3,21.7,20.6,93.0,73.0,78.0,0.0,604.0,0.0,0.0,209.0,0.0
8,24,1,0,4.132075,0.0,0.0,0.0,0.0,0.19157887,0.22,0.22,0.22,0.22,20.0,81.0,0.0,0.0,18.9,22.2,19.4,90.0,71.0,79.0,15.0,589.0,0.0,14.0,144.0,0.0
8,1,2,0,2.9009166,0.0,0.0,0.0,0.0,0.17271361,0.22,0.22,0.22,0.22,19.4,87.0,0.0,0.0,20.0,21.0,20.0,87.0,78.0,78.0,116.0,554.0,0.0,42.0,133.0,0.0
8,2,2,0,2.2597833,0.0,0.0,0.0,0.0,0.1668173,0.22,0.22,0.22,0.22,19.4,87.0,0.0,0.0,20.0,21.0,19.4,87.0,78.0,84.0,252.0,907.0,0.0,74.0,685.0,0.0
8,3,2,0,1.4480667,0.0,0.0,0.0,0.0,0.16352855,0.22,0.22,0.22,0.22,19.4,90.0,0.0,0.0,20.0,22.8,19.4,84.0,68.0,84.0,292.0,789.0,0.0,35.0,777.0,0.0
8,4,2,0,1.1343666,0.0,0.0,0.0,0.0,0.16253123,0.22,0.22,0.54,0.22,18.9,90.0,0.0,0.0,21.7,22.8,19.4,76.0,67.0,84.0,436.0,631.0,0.0,95.0,703.0,0.0
8,5,2,0,0.35226667,0.0,0.0,0.0,0.0,0.16735874,0.22,0.22,0.54,0.22,18.3,93.0,0.0,0.0,21.7,22.2,18.9,73.0,68.0,87.0,604.0,443.0,0.0,209.0,585.0,0.0
8,6,2,0,0.34945,0.0,0.0,0.0,5.7625,0.1707615,0.22,0.22,0.54,0.22,18.9,90.0,15.0,14.0,22.2,23.3,19.4,71.0,79.0,84.0,589.0,245.0,27.0,144.0,337.0,144.0
8,7,2,0,1.7421,0.0,0.0,0.0,29.445833,0.18388951,0.22,0.22,0.54,0.22,20.0,87.0,116.0,42.0,21.0,22.8,21.1,78.0,68.0,76.0,554.0,27.0,192.0,133.0,147.0,395.0
8,8,2,0,0.60545,0.0,0.0,0.0,94.69583,0.19780493,0.22,0.22,0.54,0.22,20.0,87.0,252.0,74.0,21.0,22.8,22.8,78.0,61.0,66.0,907.0,0.0,404.0,685.0,0.0,609.0
8,9,2,0,2.4703333,0.0,0.0,0.0,221.7,0.21082877,0.22,0.22,0.22,0.22,20.0,84.0,292.0,35.0,22.8,20.0,24.4,68.0,84.0,64.0,789.0,0.0,611.0,777.0,0.0,730.0
8,10,2,0,1.9930333,0.0,0.0,0.0,358.94583,0.22337624,0.22,0.54,0.22,0.22,21.7,76.0,436.0,95.0,22.8,20.6,23.9,67.0,78.0,66.0,631.0,0.0,778.0,703.0,0.0,793.0
8,11,2,0,3.3299167,0.0,0.0,0.0,480.34583,0.23930867,0.22,0.54,0.22,0.22,21.7,73.0,604.0,209.0,22.2,20.6,25.0,68.0,78.0,62.0,443.0,0.0,897.0,585.0,0.0,811.0
8,12,2,0,1.87625,0.0,0.0,0.0,569.8333,0.24476917,0.22,0.54,0.22,0.22,22.2,71.0,589.0,144.0,23.3,19.4,25.0,79.0,79.0,58.0,245.0,0.0,958.0,337.0,0.0,815.0
8,13,2,0,1.30285,0.0,0.0,0.0,613.0333,0.24356763,0.22,0.54,0.22,0.22,21.0,78.0,554.0,133.0,22.8,20.0,25.0,68.0,78.0,58.0,27.0,0.0,960.0,147.0,0.0,819.0
8,14,2,0,1.2250501,0.0,0.0,0.0,619.8375,0.24330084,0.22,0.54,0.22,0.22,21.0,78.0,907.0,685.0,22.8,19.4,24.4,61.0,84.0,58.0,0.0,0.0,901.0,0.0,0.0,812.0
8,15,2,0,3.2147334,0.0,0.0,0.0,584.30835,0.24916068,0.22,0.22,0.22,0.22,22.8,68.0,789.0,777.0,20.0,19.4,25.0,84.0,84.0,56.0,0.0,0.0,790.0,0.0,0.0,771.0
8,16,2,0,2.4969168,0.0,0.0,0.0,508.32916,0.25086278,0.54,0.22,0.22,0.54,22.8,67.0,631.0,703.0,20.6,19.4,23.9,78.0,84.0,64.0,0.0,0.0,632.0,0.0,0.0,604.0
8,17,2,0,0.869,0.0,0.0,0.0,386.25833,0.2472611,0.54,0.22,0.22,0.54,22.2,68.0,443.0,585.0,20.6,18.9,23.3,78.0,87.0,64.0,0.0,0.0,362.0,0.0,0.0,293.0
8,18,2,0,0.30870003,0.0,0.0,0.0,215.46666,0.23651384,0.54,0.22,0.22,0.54,23.3,79.0,245.0,337.0,19.4,19.4,22.8,79.0,84.0,64.0,0.0,27.0,124.0,0.0,144.0,31.0
8,19,2,0,1.3966833,0.0,0.0,0.0,20.479166,0.2257806,0.54,0.22,0.22,0.54,22.8,68.0,27.0,147.0,20.0,21.1,22.2,78.0,76.0,68.0,0.0,192.0,13.0,0.0,395.0,13.0
8,20,2,0,9.918213e-08,0.0,0.0,0.0,0.0,0.22176008,0.54,0.22,0.22,0.54,22.8,61.0,0.0,0.0,19.4,22.8,21.1,84.0,66.0,78.0,0.0,404.0,0.0,0.0,609.0,0.0
8,21,2,0,9.7529096e-08,0.0,0.0,0.0,0.0,0.21804756,0.22,0.22,0.22,0.22,20.0,84.0,0.0,0.0,19.4,24.4,20.6,84.0,64.0,78.0,0.0,611.0,0.0,0.0,730.0,0.0
8,22,2,0,9.918213e-08,0.0,0.0,0.0,0.0,0.20633468,0.22,0.22,0.22,0.22,20.6,78.0,0.0,0.0,19.4,23.9,20.6,84.0,66.0,73.0,0.0,778.0,0.0,0.0,793.0,0.0
8,23,2,0,9.918213e-08,0.0,0.0,0.0,0.0,0.19263186,0.22,0.22,0.22,0.22,20.6,78.0,0.0,0.0,18.9,25.0,20.0,87.0,62.0,76.0,0.0,897.0,0.0,0.0,811.0,0.0
8,24,2,0,9.918213e-08,0.0,0.0,0.0,0.0,0.17944553,0.22,0.22,0.22,0.22,19.4,79.0,0.0,0.0,19.4,25.0,18.9,84.0,58.0,84.0,27.0,958.0,0.0,144.0,815.0,0.0
8,1,3,0,9.918213e-08,0.0,0.0,0.0,0.0,0.16495918,0.22,0.22,0.22,0.22,20.0,78.0,0.0,0.0,21.1,25.0,19.4,76.0,58.0,81.0,192.0,960.0,0.0,395.0,819.0,0.0
8,2,3,0,9.918213e-08,0.0,0.0,0.0,0.0,0.15730144,0.22,0.22,0.22,0.22,19.4,84.0,0.0,0.0,22.8,24.4,20.0,66.0,58.0,81.0,404.0,901.0,0.0,609.0,812.0,0.0
8,3,3,0,9.918213e-08,0.0,0.0,0.0,0.0,0.15902838,0.22,0.22,0.22,0.22,19.4,84.0,0.0,0.0,24.4,25.0,19.4,64.0,56.0,84.0,611.0,790.0,0.0,730.0,771.0,0.0
8,4,3,0,9.918213e-08,0.0,0.0,0.0,0.0,0.15689933,0.22,0.22,0.54,0.22,19.4,84.0,0.0,0.0,23.9,23.9,18.9,66.0,64.0,87.0,778.0,632.0,0.0,793.0,604.0,0.0
8,5,3,0,9.918213e-08,0.0,0.0,0.0,0.0,0.15738352,0.22,0.22,0.54,0.22,18.9,87.0,0.0,0.0,25.0,23.3,18.9,62.0,64.0,87.0,897.0,362.0,0.0,811.0,293.0,0.0
8,6,3,0,9.969076e-08,0.0,0.0,0.0,6.5125,0.16790247,0.22,0.22,0.54,0.22,19.4,84.0,27.0,144.0,25.0,22.8,18.9,58.0,64.0,87.0,958.0,124.0,13.0,815.0,31.0,7.0
8,7,3,0,0.015183425,0.0,0.0,0.0,33.029167,0.17872274,0.22,0.22,0.54,0.22,21.1,76.0,192.0,395.0,25.0,22.2,20.0,58.0,68.0,81.0,960.0,13.0,80.0,819.0,13.0,5.0
8,8,3,0,0.31670004,0.0,0.0,0.0,95.0125,0.20311522,0.22,0.22,0.54,0.22,22.8,66.0,404.0,609.0,24.4,21.1,21.1,58.0,78.0,76.0,901.0,0.0,418.0,812.0,0.0,512.0
8,9,3,0,1.3032666,0.0,0.0,0.0,211.79584,0.21381462,0.22,0.22,0.22,0.22,24.4,64.0,611.0,730.0,25.0,20.6,23.9,56.0,78.0,64.0,790.0,0.0,616.0,771.0,0.0,736.0
8,10,3,0,2.5682666,0.0,0.0,0.0,340.425,0.21551497,0.22,0.54,0.22,0.22,23.9,66.0,778.0,793.0,23.9,20.6,25.6,64.0,73.0,60.0,632.0,0.0,778.0,604.0,0.0,793.0
8,11,3,0,1.1945833,0.0,0.0,0.0,497.02084,0.2312306,0.22,0.54,0.22,0.22,25.0,62.0,897.0,811.0,23.3,20.0,23.3,64.0,76.0,71.0,362.0,0.0,897.0,293.0,0.0,739.0
8,12,3,0,1.3531,0.0,0.0,0.0,582.4625,0.24023743,0.22,0.54,0.22,0.22,25.0,58.0,958.0,815.0,22.8,18.9,22.2,64.0,84.0,71.0,124.0,0.0,720.0,31.0,0.0,276.0
8,13,3,0,3.0735,0.0,0.0,0.0,629.625,0.24554762,0.22,0.54,0.22,0.22,25.0,58.0,960.0,819.0,22.2,19.4,22.2,68.0,81.0,71.0,13.0,0.0,474.0,13.0,0.0,66.0
8,14,3,0,2.9029,0.0,0.0,0.0,638.3333,0.24369626,0.22,0.54,0.22,0.22,24.4,58.0,901.0,812.0,21.1,20.0,22.2,78.0,81.0,73.0,0.0,0.0,441.0,0.0,0.0,30.0
8,15,3,0,3.8458834,0.0,0.0,0.0,603.0125,0.24565277,0.22,0.22,0.22,0.22,25.0,56.0,790.0,771.0,20.6,19.4,21.7,78.0,84.0,76.0,0.0,0.0,328.0,0.0,0.0,18.0
8,16,3,0,3.2118,0.0,0.0,0.0,520.8875,0.24907608,0.54,0.22,0.22,0.54,23.9,64.0,632.0,604.0,20.6,18.9,20.6,73.0,87.0,81.0,0.0,0.0,446.0,0.0,0.0,206.0
8,17,3,0,1.9543167,0.0,0.0,0.0,394.57083,0.24751402,0.54,0.22,0.22,0.54,23.3,64.0,362.0,293.0,20.0,18.9,20.0,76.0,87.0,81.0,0.0,0.0,437.0,0.0,0.0,482.0
8,18,3,0,0.23120005,0.0,0.0,0.0,216.3875,0.24996853,0.54,0.22,0.22,0.54,22.8,64.0,124.0,31.0,18.9,18.9,20.0,84.0,87.0,78.0,0.0,13.0,239.0,0.0,7.0,325.0
8,19,3,0,9.880066e-08,0.0,0.0,0.0,18.829166,0.251276,0.54,0.22,0.22,0.54,22.2,68.0,13.0,13.0,19.4,20.0,19.4,81.0,81.0,81.0,0.0,80.0,23.0,0.0,5.0,135.0
8,20,3,0,9.918213e-08,0.0,0.0,0.0,0.0,0.24560243,0.54,0.22,0.22,0.54,21.1,78.0,0.0,0.0,20.0,21.1,19.4,81.0,76.0,79.0,0.0,418.0,0.0,0.0,512.0,0.0
8,21,3,0,9.918213e-08,0.0,0.0,0.0,0.0,0.23783484,0.22,0.22,0.22,0.22,20.6,78.0,0.0,0.0,19.4,23.9,19.4,84.0,64.0,84.0,0.0,616.0,0.0,0.0,736.0,0.0
8,22,3,0,9.918213e-08,0.0,0.0,0.0,0.0,0.21481025,0.22,0.22,0.22,0.22,20.6,73.0,0.0,0.0,18.9,25.6,18.9,87.0,60.0,84.0,0.0,778.0,0.0,0.0,793.0,0.0
8,23,3,0,9.918213e-08,0.0,0.0,0.0,0.0,0.1966851,0.22,0.22,0.22,0.22,20.0,76.0,0.0,0.0,18.9,23.3,18.9,87.0,71.0,87.0,0.0,897.0,0.0,0.0,739.0,0.0
8,24,3,0,9.918213e-08,0.0,0.0,0.0,0.0,0.175584,0.22,0.22,0.22,0.22,18.9,84.0,0.0,0.0,18.9,22.2,20.0,87.0,71.0,68.0,13.0,720.0,0.0,7.0,276.0,0.0
8,1,4,0,9.918213e-08,0.0,0.0,0.0,0.0,0.17025222,0.22,0.22,0.22,0.22,19.4,81.0,0.0,0.0,20.0,22.2,18.9,81.0,71.0,84.0,80.0,474.0,0.0,5.0,66.0,0.0
8,2,4,0,9.918213e-08,0.0,0.0,0.0,0.0,0.15808403,0.22,0.22,0.22,0.22,20.0,81.0,0.0,0.0,21.1,22.2,20.0,76.0,73.0,78.0,418.0,441.0,0.0,512.0,30.0,0.0
8,3,4,0,9.918213e-08,0.0,0.0,0.0,0.0,0.15693438,0.22,0.22,0.22,0.22,19.4,84.0,0.0,0.0,23.9,21.7,19.4,64.0,76.0,81.0,616.0,328.0,0.0,736.0,18.0,0.0
8,4,4,0,9.921392e-08,0.0,0.0,0.0,0.0,0.1608465,0.22,0.22,0.54,0.22,18.9,87.0,0.0,0.0,25.6,20.6,19.4,60.0,81.0,81.0,778.0,446.0,0.0,793.0,206.0,0.0
8,5,4,0,0.16690005,0.0,0.0,0.0,0.0,0.16770287,0.22,0.22,0.54,0.22,18.9,87.0,0.0,0.0,23.3,20.0,19.4,71.0,81.0,81.0,897.0,437.0,0.0,739.0,482.0,0.0
8,6,4,0,0.37108332,0.0,0.0,0.0,3.8166666,0.16900943,0.22,0.22,0.54,0.22,18.9,87.0,13.0,7.0,22.2,20.0,19.4,71.0,78.0,79.0,720.0,239.0,18.0,276.0,325.0,52.0
8,7,4,0,0.41593334,0.0,0.0,0.0,33.879166,0.1827239,0.22,0.22,0.54,0.22,20.0,81.0,80.0,5.0,22.2,19.4,20.0,71.0,81.0,76.0,474.0,23.0,111.0,66.0,135.0,47.0
8,8,4,0,0.48873332,0.0,0.0,0.0,93.92083,0.2001486,0.22,0.22,0.54,0.22,21.1,76.0,418.0,512.0,22.2,19.4,20.0,73.0,79.0,78.0,441.0,0.0,218.0,30.0,0.0,28.0
8,9,4,0,1.0086334,0.0,0.0,0.0,221.9875,0.20599447,0.22,0.22,0.22,0.22,23.9,64.0,616.0,736.0,21.7,19.4,20.6,76.0,84.0,73.0,328.0,0.0,355.0,18.0,0.0,88.0
8,10,4,0,1.2675667,0.0,0.0,0.0,364.21667,0.2118524,0.22,0.54,0.22,0.22,25.6,60.0,778.0,793.0,20.6,18.9,21.1,81.0,84.0,73.0,446.0,0.0,386.0,206.0,0.0,41.0
8,11,4,0,0.44953334,0.0,0.0,0.0,482.71667,0.2260207,0.22,0.54,0.22,0.22,23.3,71.0,897.0,739.0,20.0,18.9,21.7,81.0,87.0,73.0,437.0,0.0,615.0,482.0,0.0,262.0
8,12,4,0,1.8291667,0.0,0.0,0.0,570.9792,0.22795987,0.22,0.54,0.22,0.22,22.2,71.0,720.0,276.0,20.0,20.0,21.7,78.0,68.0,70.0,239.0,0.0,958.0,325.0,0.0,749.0
8,13,4,0,2.4162333,0.0,0.0,0.0,622.7167,0.2254461,0.22,0.54,0.22,0.22,22.2,71.0,474.0,66.0,19.4,18.9,21.7,81.0,84.0,73.0,23.0,0.0,960.0,135.0,0.0,819.0
8,14,4,0,2.9166167,0.0,0.0,0.0,635.5833,0.22483824,0.22,0.54,0.22,0.22,22.2,73.0,441.0,30.0,19.4,20.0,21.1,79.0,78.0,76.0,0.0,0.0,901.0,0.0,0.0,812.0
8,15,4,0,2.75435,0.0,0.0,0.0,604.79584,0.23203483,0.22,0.22,0.22,0.22,21.7,76.0,328.0,18.0,19.4,19.4,20.6,84.0,81.0,75.0,0.0,0.0,784.0,0.0,0.0,771.0
8,16,4,0,2.775,0.0,0.0,0.0,516.6875,0.2323185,0.54,0.22,0.22,0.54,20.6,81.0,446.0,206.0,18.9,19.4,20.0,84.0,81.0,78.0,0.0,0.0,626.0,0.0,0.0,698.0
8,17,4,0,2.59095,0.0,0.0,0.0,382.3375,0.234056,0.54,0.22,0.22,0.54,20.0,81.0,437.0,482.0,18.9,19.4,20.0,87.0,81.0,78.0,0.0,0.0,438.0,0.0,0.0,580.0
8,18,4,0,2.4160333,0.0,0.0,0.0,202.85417,0.23350044,0.54,0.22,0.22,0.54,20.0,78.0,239.0,325.0,20.0,19.4,19.4,68.0,79.0,79.0,0.0,18.0,242.0,0.0,52.0,319.0
8,19,4,0,2.2407832,0.0,0.0,0.0,16.154167,0.22279812,0.54,0.22,0.22,0.54,19.4,81.0,23.0,135.0,18.9,20.0,19.4,84.0,76.0,79.0,0.0,111.0,22.0,0.0,47.0,129.0
8,20,4,0,2.1395333,0.0,0.0,0.0,0.0,0.2189764,0.54,0.22,0.22,0.54,19.4,79.0,0.0,0.0,20.0,20.0,19.4,78.0,78.0,76.0,0.0,218.0,0.0,0.0,28.0,0.0
8,21,4,0,2.7544668,0.0,0.0,0.0,0.0,0.21173024,0.22,0.22,0.22,0.22,19.4,84.0,0.0,0.0,19.4,20.6,19.4,81.0,73.0,76.0,0.0,355.0,0.0,0.0,88.0,0.0
8,22,4,0,2.7236166,0.0,0.0,0.0,0.0,0.19274442,0.22,0.22,0.22,0.22,18.9,84.0,0.0,0.0,19.4,21.1,19.4,81.0,73.0,76.0,0.0,386.0,0.0,0.0,41.0,0.0
8,23,4,0,1.3486333,0.0,0.0,0.0,0.0,0.16745,0.22,0.22,0.22,0.22,18.9,87.0,0.0,0.0,19.4,21.7,20.0,81.0,73.0,73.0,0.0,615.0,0.0,0.0,262.0,0.0
8,24,4,0,1.3118583,0.0,0.0,0.0,0.0,0.15570733,0.22,0.22,0.22,0.22,20.0,68.0,0.0,0.0,19.4,21.7,18.9,79.0,70.0,78.0,18.0,958.0,0.0,52.0,749.0,0.0
8,1,5,0,0.32428333,0.0,0.0,0.0,0.0,0.15013929,0.22,0.22,0.22,0.22,18.9,84.0,0.0,0.0,20.0,21.7,20.0,76.0,73.0,68.0,111.0,960.0,0.0,47.0,819.0,0.0
8,2,5,0,1.0728166,0.0,0.0,0.0,0.0,0.14473735,0.22,0.22,0.22,0.22,20.0,78.0,0.0,0.0,20.0,21.1,19.4,78.0,76.0,73.0,218.0,901.0,0.0,28.0,812.0,0.0
8,3,5,0,0.32325,0.0,0.0,0.0,0.0,0.1524545,0.22,0.22,0.22,0.22,19.4,81.0,0.0,0.0,20.6,20.6,20.0,73.0,75.0,65.0,355.0,784.0,0.0,88.0,771.0,0.0
8,4,5,0,0.32686666,0.0,0.0,0.0,0.0,0.15228155,0.22,0.22,0.54,0.22,19.4,81.0,0.0,0.0,21.1,20.0,20.0,73.0,78.0,63.0,386.0,626.0,0.0,41.0,698.0,0.0
8,5,5,0,0.32085,0.0,0.0,0.0,0.0,0.16260153,0.22,0.22,0.54,0.22,19.4,81.0,0.0,0.0,21.7,20.0,20.0,73.0,78.0,63.0,615.0,438.0,0.0,262.0,580.0,0.0
8,6,5,0,0.3873,0.0,0.0,0.0,5.2708335,0.16399032,0.22,0.22,0.54,0.22,19.4,79.0,18.0,52.0,21.7,19.4,20.0,70.0,79.0,63.0,958.0,242.0,9.0,749.0,319.0,0.0
8,7,5,0,1.0531334,0.0,0.0,0.0,33.433334,0.17502496,0.22,0.22,0.54,0.22,20.0,76.0,111.0,47.0,21.7,19.4,20.0,73.0,79.0,63.0,960.0,22.0,144.0,819.0,129.0,168.0
8,8,5,0,1.6359167,0.0,0.0,0.0,101.02917,0.18512607,0.22,0.22,0.54,0.22,20.0,78.0,218.0,28.0,21.1,19.4,21.1,76.0,76.0,59.0,901.0,0.0,152.0,812.0,0.0,11.0
8,9,5,0,1.6890666,0.0,0.0,0.0,223.27083,0.19491634,0.22,0.22,0.22,0.22,20.6,73.0,355.0,88.0,20.6,19.4,21.7,75.0,76.0,57.0,784.0,0.0,427.0,771.0,0.0,210.0
8,10,5,0,1.9958333,0.0,0.0,0.0,364.19168,0.20418933,0.22,0.54,0.22,0.22,21.1,73.0,386.0,41.0,20.0,19.4,21.1,78.0,76.0,68.0,626.0,0.0,618.0,698.0,0.0,343.0
8,11,5,0,1.8122667,0.0,0.0,0.0,488.875,0.22145621,0.22,0.54,0.22,0.22,21.7,73.0,615.0,262.0,20.0,20.0,21.1,78.0,73.0,66.0,438.0,0.0,810.0,580.0,0.0,572.0
8,12,5,0,4.10505,0.0,0.0,0.0,580.6625,0.21505424,0.22,0.54,0.22,0.22,21.7,70.0,958.0,749.0,19.4,18.9,22.2,79.0,78.0,61.0,242.0,0.0,875.0,319.0,0.0,593.0
8,13,5,0,4.2035165,0.0,0.0,0.0,632.3958,0.20845915,0.22,0.54,0.22,0.22,21.7,73.0,960.0,819.0,19.4,20.0,22.8,79.0,68.0,61.0,22.0,0.0,677.0,129.0,0.0,259.0
8,14,5,0,3.1676,0.0,0.0,0.0,640.8958,0.20262869,0.22,0.54,0.22,0.22,21.1,76.0,901.0,812.0,19.4,19.4,22.2,76.0,73.0,66.0,0.0,0.0,786.0,0.0,0.0,497.0
8,15,5,0,3.0072334,0.0,0.0,0.0,608.9,0.19823301,0.22,0.22,0.22,0.22,20.6,75.0,784.0,771.0,19.4,20.0,22.2,76.0,65.0,61.0,0.0,0.0,711.0,0.0,0.0,569.0
8,16,5,0,1.38875,0.0,0.0,0.0,528.4167,0.19353756,0.54,0.22,0.22,0.4,20.0,78.0,626.0,698.0,19.4,20.0,21.7,76.0,63.0,61.0,0.0,0.0,526.0,0.0,0.0,436.0
